基金代码,状态,基金经理姓名,基金经理简介,托管费率,最高申购费率,最高认购费率,最高赎回费率,状态_费率,管理费率,销售服务费率,业绩比较基准,份额规模,发行日期,基金全称,基金托管人,基金简称,基金管理人,基金类型,基金经理人,成立日期/规模,成立来分红,资产规模,跟踪标的
006863（前端）基金类型混合型-偏股,成功,高诗,"高诗先生:硕士研究生。曾任国金证券研究所行业研究员,宏源证券研究所行业研究员,上海雀沃信息技术有限公司资深分析师。2015年7月加入国联安基金管理有限公司,历任研究员、基金经理。2019年9月起担任国联安新科技混合型证券投资基金的基金经理。2025年6月4日担任国联安智能制造混合型证券投资基金基金经理。",0.20%（每年）,,1.20%（前端）天天基金优惠费率：0.12%（前端）,,,1.20%（每年）,0.00%（每年）,申银万国制造业指数收益率*75%+上证国债指数收益率*25%,0.0739亿份（截止至：2025年06月30日）,2019年03月18日,国联安智能制造混合型证券投资基金,民生银行,国联安智能制造混合A,国联安基金,混合型-偏股,高诗,2019年04月25日 / 3.237亿份,每份累计0.04元（1次）,0.10亿元（截止至：2025年06月30日）份额规模0.0739亿份（截止至：2025年06月30日）,该基金无跟踪标的
010812（前端）基金类型股票型,成功,李思佳,"李思佳女士:国籍中国,研究生、硕士学历。2017年加入中银基金管理有限公司,曾任研究员、基金经理助理。2023年10月20日起担任中银战略新兴产业股票型证券投资基金基金经理。2025年4月24日起任中银持续增长混合型证券投资基金基金经理。",0.20%（每年）,0.00%（前端）,---（前端）,1.50%（前端）,,1.20%（每年）,0.40%（每年）,中证800指数收益率*80%+中债综合指数收率*20%,0.3057亿份（截止至：2025年06月30日）,2015年11月09日,中银战略新兴产业股票型证券投资基金,兴业银行,中银战略新兴产业股票C,中银基金,股票型,李思佳,2020年12月11日 / --,每份累计0.00元（0次）,0.82亿元（截止至：2025年06月30日）份额规模0.3057亿份（截止至：2025年06月30日）,该基金无跟踪标的
014127（前端）基金类型QDII-混合灵活,成功,何博,"何博女士:上海财经大学金融学硕士、中南财经政法大学投资学学士,具有基金从业资格。2012年7月加入融通基金管理有限公司,历任QDII研究员、国际业务部专户投资经理、融通核心价值混合型证券投资基金(QDII)基金经理(2019年1月4日起至2020年8月14日)、融通沪港深智慧生活灵活配置混合型证券投资基金基金经理(2018年1月5日起至2023年3月30日),现任融通核心价值混合型证券投资基金(QDII)基金经理(2023年10月14日起至今)。",0.20%（每年）,0.00%（前端）,---（前端）,1.50%（前端）,,1.20%（每年）,0.50%（每年）,恒生指数(Hang Seng Index)收益率*70%+中债综合全价(总值)指数收益率*30%,0.0815亿份（截止至：2025年09月30日）,2013年01月14日,融通核心价值混合型证券投资基金(QDII),工商银行,融通核心价值混合C,融通基金,QDII-混合灵活,何博、程越楷,2021年11月22日 / --,每份累计0.00元（0次）,0.09亿元（截止至：2025年09月30日）份额规模0.0815亿份（截止至：2025年09月30日）,该基金无跟踪标的
018490（前端）基金类型指数型-股票,失败,贺方舟,"贺方舟先生:中国国籍,复旦大学工商管理硕士。曾任汇添富基金管理股份有限公司基金营运部营运经理,大成基金管理有限公司指数与期货投资部研究员等职。2022年6月入职万家基金管理有限公司,现任量化投资部基金经理,历任量化投资部基金经理助理。现任万家国证航天航空行业交易型开放式指数证券投资基金、万家中证半导体材料设备主题交易型开放式指数证券投资基金发起式联接基金、万家中证全指公用事业交易型开放式指数证券投资基金联接基金、万家180指数证券投资基金、万家上证50交易型开放式指数证券投资基金、万家上证科创板成长交易型开放式指数证券投资基金、万家中证工业有色金属主题交易型开放式指数证券投资基金、万家中证工业有色金属主题交易型开放式指数证券投资基金发起式联接基金、万家上证科创板50成份交易型开放式指数证券投资基金、万家中证机器人交易型开放式指数证券投资基金、万家中证软件服务交易型开放式指数证券投资基金发起式联接基金、万家中证人工智能主题交易型开放式指数证券投资基金的基金经理。2025年6月25日担任万家中证港股通创新药交易型开放式指数证券投资基金、万家中证软件服务交易型开放式指数证券投资基金基金经理。曾任万家沪深300成长交易型开放式指数证券投资基金、万家沪深300成长交易型开放式指数证券投资基金发起式联接基金、万家国证新能源车电池指数型发起式证券投资基金、万家中证半导体材料设备主题交易型开放式指数证券投资基金的基金经理。曾任万家中证全指公用事业交易型开放式指数证券投资基金基金经理。2025年7月16日起任万家中证800自由现金流交易型开放式指数证券投资基金的基金经理,2025年7月31日起任万家中证800自由现金流交易型开放式指数证券投资基金联接基金的基金经理,2025年9月17日起任万家深证AAA科技创新公司债交易型开放式指数证券投资基金的基金经理。",0.10%（每年）,0.00%（前端）,0.00%（前端）,1.50%（前端）,"抓取失败: 网络错误 (HTTPSConnectionPool(host='fundf10.eastmoney.com', port=443): Read timed out. (read timeout=12))",0.50%（每年）,0.20%（每年）,中证工业有色金属主题指数收益率*95%+银行活期存款利率(税后)*5%,1.7968亿份（截止至：2025年09月30日）,2023年06月06日,万家中证工业有色金属主题交易型开放式指数证券投资基金发起式联接基金,建设银行,万家中证工业有色金属主题ETF发起式联接C,万家基金,指数型-股票,贺方舟,2023年06月08日 / 0.100亿份,每份累计0.00元（0次）,2.50亿元（截止至：2025年09月30日）份额规模1.7968亿份（截止至：2025年09月30日）,中证工业有色金属主题指数
019863（前端）基金类型股票型,成功,陈西中,"陈西中先生:研究生、硕士,中国国籍。2014年7月至2015年2月在广发证券资产管理有限公司工作,任研究员,2015年2月至2016年4月在中欧基金管理有限公司工作,任研究员,2016年4月至2016年12月在上海源实资产管理有限公司工作,任研究员。2017年1月加入招商基金管理有限公司,曾任行业研究员。2021年9月28日担任招商稳健优选股票型证券投资基金基金经理。2024年3月26日起担任招商金安成长严选混合型证券投资基金基金经理。",0.20%（每年）,0.00%（前端）,---（前端）,1.50%（前端）,,1.20%（每年）,0.60%（每年）,沪深300指数收益率*80%+中债综合指数收益率*20%,0.0412亿份（截止至：2025年06月30日）,2017年08月21日,招商稳健优选股票型证券投资基金,建设银行,招商稳健优选股票C,招商基金,股票型,陈西中,2023年10月27日 / --,每份累计0.00元（0次）,0.12亿元（截止至：2025年06月30日）份额规模0.0412亿份（截止至：2025年06月30日）,该基金无跟踪标的
009092（前端）基金类型混合型-偏股,成功,徐智翔,"徐智翔先生:中国国籍,研究生、硕士,自2012年10月至2013年04月任华彩咨询集团咨询顾问;2013年05月至2015年05月任上海空间电源研究所(航天811所)投资主管;2015年06月至2017年06月任浙商证券股份有限公司行业研究员;2017年06月至2021年10月任平安资产管理有限责任公司投资经理;2021年10月加入富国基金管理有限公司。2021年11月4日任富国新材料新能源混合型证券投资基金基金经理。2022年2月9日至2024年05月17日任富国长期成长混合型证券投资基金基金经理。2023年07月28日起担任富国天瑞强势地区精选混合型证券投资基金基金经理。自2024年04月起任富国匠心成长混合型证券投资基金基金经理。",0.20%（每年）,,1.20%（前端）,,,1.20%（每年）,0.00%（每年）,中证全指一级行业能源指数收益率*40%+中证全指一级行业材料指数收益率*40%+中债综合指数收益率*20%,3.1303亿份（截止至：2025年06月30日）,2020年04月28日,富国新材料新能源混合型证券投资基金,中国银行,富国新材料新能源混合A,富国基金,混合型-偏股,徐智翔,2020年06月24日 / 8.325亿份,每份累计0.00元（0次）,4.63亿元（截止至：2025年06月30日）份额规模3.1303亿份（截止至：2025年06月30日）,该基金无跟踪标的
010505（前端）基金类型股票型,成功,俞诚,"俞诚先生:经济学学士,金融风险管理师(FRM)。2009年08月加入申万菱信基金管理有限公司,曾任产品与金融工程总部金融工程师、数量研究员,申万菱信中证申万电子行业投资指数分级证券投资基金、申万菱信中证申万传媒行业投资指数分级证券投资基金、申万菱信中证申万医药生物指数分级证券投资基金、申万菱信沪深300价值指数证券投资基金、申万菱信深证成指分级证券投资基金、申万菱信中证申万证券行业指数分级证券投资基金、申万菱信中证环保产业指数分级证券投资基金、申万菱信中证军工指数分级证券投资基金、申万菱信价值优享混合型证券投资基金、申万菱信中小板指数证券投资基金(LOF)、申万菱信量化驱动混合型证券投资基金、申万菱信价值优利混合型证券投资基金、申万菱信量化小盘股票型证券投资基金(LOF)基金经理,现任申万菱信中证500指数增强型证券投资基金、申万菱信创业板量化精选股票型证券投资基金基金经理。",0.20%（每年）,0.00%（前端）,---（前端）,1.50%（前端）,,1.20%（每年）,0.40%（每年）,90%×创业板综合指数收益率+10%×银行活期存款利率(税后),0.7293亿份（截止至：2025年06月30日）,2020年06月02日,申万菱信创业板量化精选股票型证券投资基金,农业银行,申万菱信创业板量化精选股票C,申万菱信基金,股票型,俞诚,2020年10月29日 / --,每份累计0.00元（0次）,0.62亿元（截止至：2025年06月30日）份额规模0.7293亿份（截止至：2025年06月30日）,该基金无跟踪标的
019830（前端）基金类型混合型-偏股,成功,屠环宇,"屠环宇先生:中国,金融硕士。2015年7月加入华夏基金管理有限公司,历任投资研究部研究员、基金经理助理,现任华夏创新前沿股票型证券投资基金基金经理(2020年3月23日起任职)、华夏创业板两年定期开放混合型证券投资基金基金经理(2021年2月22日起任职)、华夏时代前沿一年持有期混合型证券投资基金基金经理(2021年8月24日起任职)、华夏科技前沿6个月定期开放混合型证券投资基金基金经理(2022年8月22日起任职)、华夏创新研选混合型证券投资基金基金经理(2022年8月23日起任职)、华夏数字产业混合型证券投资基金基金经理(2024年3月25日起任职)、华夏大盘精选证券投资基金基金经理(2024年3月26日起任职)、华夏科技龙头两年持有期混合型证券投资基金基金经理(2024年3月26日至2025年6月3日)、华夏创新未来混合型证券投资基金(LOF)基金经理(2024年12月26日起任职)。曾任华夏先进制造龙头混合型证券投资基金基金经理。",0.20%（每年）,0.00%（前端）,0.00%（前端）,1.50%（前端）,,1.20%（每年）,0.60%（每年）,中证数字经济主题指数收益率*60%+中证港股通综合指数收益率*20%+中债综合全价指数收益率*20%,0.1587亿份（截止至：2025年06月30日）,2024年03月01日,华夏数字产业混合型证券投资基金,工商银行,华夏数字产业混合C,华夏基金,混合型-偏股,屠环宇、施知序,2024年03月25日 / 4.111亿份,每份累计0.00元（0次）,0.20亿元（截止至：2025年06月30日）份额规模0.1587亿份（截止至：2025年06月30日）,该基金无跟踪标的
011346（前端）基金类型混合型-偏股,成功,廖辰轩,"廖辰轩先生:中国,上海交通大学金融学本科、硕士。2010年3月至2018年12月任兴业证券股份有限公司研究员,2019年1月至2020年10月任兴业证券股份有限公司投资经理。2020年11月加盟淳厚基金管理有限公司,曾任专户投资部投资经理,现任权益投资部基金经理。2021年3月18日至2025年7月12日担任淳厚信泽灵活配置混合型证券投资基金基金经理。2021年6月8日担任淳厚鑫淳一年持有期混合型证券投资基金基金经理。",0.20%（每年）,,1.20%（前端）,,,1.20%（每年）,---（每年）,沪深300指数收益率*40%+经人民币汇率调整的中证港股通综合指数收益率*10%+中债综合全价(总值)指数收益率*50%,2.1513亿份（截止至：2025年06月30日）,2021年05月17日,淳厚鑫淳一年持有期混合型证券投资基金,兴业银行,淳厚鑫淳一年持有混合,淳厚基金,混合型-偏股,廖辰轩,2021年06月01日 / 6.059亿份,每份累计0.00元（0次）,1.70亿元（截止至：2025年06月30日）份额规模2.1513亿份（截止至：2025年06月30日）,该基金无跟踪标的
020840（前端）基金类型指数型-股票,成功,李佳亮,"李佳亮先生:中国国籍,美国南加州大学金融工程硕士,特许金融分析师(CFA),具有基金从业资格。2012年8月加入南方基金,任数量化投资部研究员;2015年5月28日至2016年8月5日,任投资经理助理;2017年4月13日至2018年9月4日,任南方荣优基金经理;2016年8月5日至2019年1月18日,任南方消费基金经理;2017年11月9日至2019年6月28日,任大数据100、大数据300基金经理;2016年11月23日至2021年11月12日,任南方中证500增强基金经理;2017年11月9日至2021年11月12日,任南方量化成长基金经理;2020年4月23日至2021年11月12日,任南方上证50增强基金经理;2016年12月30日至2024年5月31日担任南方绝对收益策略定期开放混合型发起式证券投资基金基金经理;2021年10月29日至今,任南方MSCI中国A50互联互通ETF基金经理;2022年1月10日至今,任南方MSCI中国A50互联互通ETF联接基金经理;2022年11月21日至今,兼任投资经理;2022年12月16日至2025年6月6日任南方东英富时亚太低碳精选交易型开放式指数证券投资基金(QDII)基金经理;2022年12月23日至今,任南方北证50成份指数发起基金经理;2023年3月3日至今,任南方中证主要消费ETF基金经理;2023年3月23日至2025年6月6日任南方标普500ETF(QDII)基金经理;2023年4月13日至今,任南方沪深300ESG基准ETF基金经理;2023年6月21日至今,任南方中证国新央企科技引领ETF基金经理;2023年7月28日至今,任南方中证通信服务ETF基金经理;2023年9月7日至今,任南方中证2000ETF基金经理;2023年12月5日至今,任南方中证电池主题指数发起基金经理;2024年2月28日至今,任南方中证国新央企科技引领ETF联接基金经理;2024年3月19日至今,任南方中证光伏产业指数发起基金经理;2024年3月29日至今,任南方中证半导体产业指数发起基金经理;2024年4月15日至今,任南方上证科创板芯片ETF基金经理。2024年6月29日至今,任南方上证科创板芯片交易型开放式指数证券投资基金发起式联接基金基金经理。2024年5月21日至2025年6月6日担任南方东英富时亚太低碳精选交易型开放式指数证券投资基金发起式联接基金(QDII)基金经理。2024年5月14日至今,任南方中证通信服务ETF发起联接基金经理;2024年7月8日至今,任南方上证科创板芯片ETF发起联接基金经理。",0.10%（每年）,0.00%（前端）,0.00%（前端）,1.50%（前端）,,0.50%（每年）,0.30%（每年）,中证半导体产业指数收益率*95%+银行活期存款利率(税后)*5%,0.7101亿份（截止至：2025年06月30日）,2024年03月07日,南方中证半导体产业指数发起式证券投资基金,建设银行,南方中证半导体产业指数发起C,南方基金,指数型-股票,李佳亮,2024年03月29日 / 0.480亿份,每份累计0.00元（0次）,1.01亿元（截止至：2025年06月30日）份额规模0.7101亿份（截止至：2025年06月30日）,中证半导体产业指数
