基金代码,状态,托管费率,最高申购费率,最高认购费率,最高赎回费率,状态_费率,管理费率,销售服务费率,业绩比较基准,份额规模,发行日期,基金全称,基金托管人,基金简称,基金管理人,基金类型,基金经理人,成立日期/规模,成立来分红,状态_概况,资产规模,跟踪标的
006863（前端）基金类型混合型-偏股,成功,0.20%（每年）,,1.20%（前端）天天基金优惠费率：0.12%（前端）,,,1.20%（每年）,0.00%（每年）,申银万国制造业指数收益率*75%+上证国债指数收益率*25%,0.0739亿份（截止至：2025年06月30日）,2019年03月18日,国联安智能制造混合型证券投资基金,民生银行,国联安智能制造混合A,国联安基金,混合型-偏股,高诗,2019年04月25日 / 3.237亿份,每份累计0.04元（1次）,,0.10亿元（截止至：2025年06月30日）份额规模0.0739亿份（截止至：2025年06月30日）,该基金无跟踪标的
010812（前端）基金类型股票型,成功,0.20%（每年）,0.00%（前端）,---（前端）,1.50%（前端）,,1.20%（每年）,0.40%（每年）,中证800指数收益率*80%+中债综合指数收率*20%,0.3057亿份（截止至：2025年06月30日）,2015年11月09日,中银战略新兴产业股票型证券投资基金,兴业银行,中银战略新兴产业股票C,中银基金,股票型,李思佳,2020年12月11日 / --,每份累计0.00元（0次）,,0.82亿元（截止至：2025年06月30日）份额规模0.3057亿份（截止至：2025年06月30日）,该基金无跟踪标的
014127（前端）基金类型QDII-混合灵活,成功,0.20%（每年）,0.00%（前端）,---（前端）,1.50%（前端）,,1.20%（每年）,0.50%（每年）,恒生指数(Hang Seng Index)收益率*70%+中债综合全价(总值)指数收益率*30%,0.0815亿份（截止至：2025年09月30日）,2013年01月14日,融通核心价值混合型证券投资基金(QDII),工商银行,融通核心价值混合C,融通基金,QDII-混合灵活,何博、程越楷,2021年11月22日 / --,每份累计0.00元（0次）,,0.09亿元（截止至：2025年09月30日）份额规模0.0815亿份（截止至：2025年09月30日）,该基金无跟踪标的
018490（前端）基金类型指数型-股票,成功,0.10%（每年）,0.00%（前端）,0.00%（前端）,1.50%（前端）,,0.50%（每年）,0.20%（每年）,中证工业有色金属主题指数收益率*95%+银行活期存款利率(税后)*5%,1.7968亿份（截止至：2025年09月30日）,2023年06月06日,万家中证工业有色金属主题交易型开放式指数证券投资基金发起式联接基金,建设银行,万家中证工业有色金属主题ETF发起式联接C,万家基金,指数型-股票,贺方舟,2023年06月08日 / 0.100亿份,每份累计0.00元（0次）,,2.50亿元（截止至：2025年09月30日）份额规模1.7968亿份（截止至：2025年09月30日）,中证工业有色金属主题指数
019863（前端）基金类型股票型,成功,0.20%（每年）,0.00%（前端）,---（前端）,1.50%（前端）,,1.20%（每年）,0.60%（每年）,沪深300指数收益率*80%+中债综合指数收益率*20%,0.0412亿份（截止至：2025年06月30日）,2017年08月21日,招商稳健优选股票型证券投资基金,建设银行,招商稳健优选股票C,招商基金,股票型,陈西中,2023年10月27日 / --,每份累计0.00元（0次）,,0.12亿元（截止至：2025年06月30日）份额规模0.0412亿份（截止至：2025年06月30日）,该基金无跟踪标的
019891（前端）基金类型指数型-股票,成功,0.10%（每年）,,1.00%（前端）,,,0.50%（每年）,0.00%（每年）,中证2000指数收益率*95%+人民币活期存款税后利率*5%,0.2558亿份（截止至：2025年06月30日）,2023年11月03日,华夏中证2000交易型开放式指数证券投资基金发起式联接基金,招商银行,华夏中证2000ETF发起式联接A,华夏基金,指数型-股票,陈国峰,2023年11月08日 / 0.108亿份,每份累计0.00元（0次）,,0.32亿元（截止至：2025年06月30日）份额规模0.2558亿份（截止至：2025年06月30日）,中证2000指数
009092（前端）基金类型混合型-偏股,成功,0.20%（每年）,,1.20%（前端）,,,1.20%（每年）,0.00%（每年）,中证全指一级行业能源指数收益率*40%+中证全指一级行业材料指数收益率*40%+中债综合指数收益率*20%,3.1303亿份（截止至：2025年06月30日）,2020年04月28日,富国新材料新能源混合型证券投资基金,中国银行,富国新材料新能源混合A,富国基金,混合型-偏股,徐智翔,2020年06月24日 / 8.325亿份,每份累计0.00元（0次）,,4.63亿元（截止至：2025年06月30日）份额规模3.1303亿份（截止至：2025年06月30日）,该基金无跟踪标的
010505（前端）基金类型股票型,成功,0.20%（每年）,0.00%（前端）,---（前端）,1.50%（前端）,,1.20%（每年）,0.40%（每年）,90%×创业板综合指数收益率+10%×银行活期存款利率(税后),0.7293亿份（截止至：2025年06月30日）,2020年06月02日,申万菱信创业板量化精选股票型证券投资基金,农业银行,申万菱信创业板量化精选股票C,申万菱信基金,股票型,俞诚,2020年10月29日 / --,每份累计0.00元（0次）,,0.62亿元（截止至：2025年06月30日）份额规模0.7293亿份（截止至：2025年06月30日）,该基金无跟踪标的
019830（前端）基金类型混合型-偏股,成功,0.20%（每年）,0.00%（前端）,0.00%（前端）,1.50%（前端）,,1.20%（每年）,0.60%（每年）,中证数字经济主题指数收益率*60%+中证港股通综合指数收益率*20%+中债综合全价指数收益率*20%,0.1587亿份（截止至：2025年06月30日）,2024年03月01日,华夏数字产业混合型证券投资基金,工商银行,华夏数字产业混合C,华夏基金,混合型-偏股,屠环宇、施知序,2024年03月25日 / 4.111亿份,每份累计0.00元（0次）,,0.20亿元（截止至：2025年06月30日）份额规模0.1587亿份（截止至：2025年06月30日）,该基金无跟踪标的
011346（前端）基金类型混合型-偏股,成功,0.20%（每年）,,1.20%（前端）,,,1.20%（每年）,---（每年）,沪深300指数收益率*40%+经人民币汇率调整的中证港股通综合指数收益率*10%+中债综合全价(总值)指数收益率*50%,2.1513亿份（截止至：2025年06月30日）,2021年05月17日,淳厚鑫淳一年持有期混合型证券投资基金,兴业银行,淳厚鑫淳一年持有混合,淳厚基金,混合型-偏股,廖辰轩,2021年06月01日 / 6.059亿份,每份累计0.00元（0次）,,1.70亿元（截止至：2025年06月30日）份额规模2.1513亿份（截止至：2025年06月30日）,该基金无跟踪标的
020840（前端）基金类型指数型-股票,成功,0.10%（每年）,0.00%（前端）,0.00%（前端）,1.50%（前端）,,0.50%（每年）,0.30%（每年）,中证半导体产业指数收益率*95%+银行活期存款利率(税后)*5%,0.7101亿份（截止至：2025年06月30日）,2024年03月07日,南方中证半导体产业指数发起式证券投资基金,建设银行,南方中证半导体产业指数发起C,南方基金,指数型-股票,李佳亮,2024年03月29日 / 0.480亿份,每份累计0.00元（0次）,,1.01亿元（截止至：2025年06月30日）份额规模0.7101亿份（截止至：2025年06月30日）,中证半导体产业指数
011604（前端）基金类型混合型-偏股,成功,0.15%（每年）,0.00%（前端）,0.00%（前端）,1.50%（前端）,,1.20%（每年）,0.50%（每年）,中证高端装备制造指数收益率*75%+中债综合全价指数收益率*25%,0.3833亿份（截止至：2025年06月30日）,2021年03月11日,兴业高端制造混合型证券投资基金,兴业证券,兴业高端制造混合C,兴业基金,混合型-偏股,徐立人,2021年03月24日 / 2.559亿份,每份累计0.00元（0次）,,0.29亿元（截止至：2025年06月30日）份额规模0.3833亿份（截止至：2025年06月30日）,该基金无跟踪标的
015486（前端）基金类型混合型-偏股,成功,0.20%（每年）,0.00%（前端）,0.00%（前端）,0.00%（前端）,,1.20%（每年）,0.80%（每年）,中证800指数收益率*70%+中证全债指数收益率*25%+恒生指数收益率(经汇率调整)*5%,4.4725亿份（截止至：2025年06月30日）,2022年12月26日,平安策略优选1年持有期混合型证券投资基金,平安银行,平安策略优选1年持有混合C,平安基金,混合型-偏股,神爱前,2023年01月17日 / 13.167亿份,每份累计0.00元（0次）,,3.58亿元（截止至：2025年06月30日）份额规模4.4725亿份（截止至：2025年06月30日）,该基金无跟踪标的
020662（前端）基金类型混合型-偏股,成功,0.20%（每年）,0.00%（前端）,0.00%（前端）,1.50%（前端）,,1.20%（每年）,0.60%（每年）,中国战略新兴产业成份指数收益率*75%+中证港股通综合指数(人民币)收益率*5%+1年期定期存款利率(税后)*20%,0.0177亿份（截止至：2025年06月30日）,2024年03月04日,中加科技创新混合型发起式证券投资基金,招商银行,中加科技创新混合发起式C,中加基金,混合型-偏股,李宁宁,2024年03月12日 / 0.106亿份,每份累计0.00元（0次）,,0.02亿元（截止至：2025年06月30日）份额规模0.0177亿份（截止至：2025年06月30日）,该基金无跟踪标的
010925（前端）基金类型混合型-偏股,成功,0.20%（每年）,,1.20%（前端）,,,1.20%（每年）,0.00%（每年）,中国战略新兴产业成份指数收益率*80%+中证综合债指数收益率*20%,0.9464亿份（截止至：2025年06月30日）,2021年01月28日,兴银科技增长1个月滚动持有期混合型证券投资基金,兴业银行,兴银科技增长1个月滚动混合A,兴银基金管理,混合型-偏股,张世略,2021年02月18日 / 9.560亿份,每份累计0.00元（0次）,,0.95亿元（截止至：2025年06月30日）份额规模0.9464亿份（截止至：2025年06月30日）,该基金无跟踪标的
110002（前端）基金类型混合型-偏股,成功,0.20%（每年）,,1.00%（前端）,,,1.20%（每年）,---（每年）,上证A指收益率×75% + 上证国债指数收益率×25%,2.2638亿份（截止至：2025年06月30日）,2003年10月30日,易方达策略成长证券投资基金,中国银行,易方达策略成长混合,易方达基金,混合型-偏股,张琦,2003年12月09日 / 20.351亿份,每份累计2.08元（53次）,,7.82亿元（截止至：2025年06月30日）份额规模2.2638亿份（截止至：2025年06月30日）,该基金无跟踪标的
018933（前端）基金类型混合型-偏股,成功,0.20%（每年）,0.00%（前端）,---（前端）,1.50%（前端）,,1.20%（每年）,0.60%（每年）,沪深300指数收益率*80%+中证综合债指数收益率*20%,0.6954亿份（截止至：2025年09月30日）,2013年10月14日,长盛城镇化主题混合型证券投资基金,中国银行,长盛城镇化主题混合C,长盛基金,混合型-偏股,代毅,2023年07月24日 / --,每份累计0.00元（0次）,,1.87亿元（截止至：2025年09月30日）份额规模0.6954亿份（截止至：2025年09月30日）,该基金无跟踪标的
001125（前端）基金类型混合型-灵活,成功,0.20%（每年）,,1.20%（前端）,,,1.20%（每年）,---（每年）,沪深300指数收益率*60%+上证国债指数收益率*40%,3.108亿份（截止至：2025年06月30日）,2015年04月16日,博时互联网主题灵活配置混合型证券投资基金,建设银行,博时互联网主题灵活配置混合,博时基金,混合型-灵活,郭晓林,2015年04月28日 / 39.106亿份,每份累计0.00元（0次）,,3.65亿元（截止至：2025年06月30日）份额规模3.108亿份（截止至：2025年06月30日）,该基金无跟踪标的
020900（前端）基金类型指数型-股票,成功,0.05%（每年）,0.00%（前端）,0.00%（前端）,1.50%（前端）,,0.45%（每年）,0.20%（每年）,中证全指通信设备指数收益率*95%+银行活期存款利率(税后)*5%,0.3351亿份（截止至：2025年06月30日）,2024年04月11日,天弘中证全指通信设备指数型发起式证券投资基金,交通银行,天弘中证全指通信设备指数发起C,天弘基金,指数型-股票,张戈,2024年04月15日 / 0.104亿份,每份累计0.00元（0次）,,0.42亿元（截止至：2025年06月30日）份额规模0.3351亿份（截止至：2025年06月30日）,中证全指通信设备指数
050009（前端）基金类型混合型-偏股,成功,0.20%（每年）,,1.50%（前端）,,,1.20%（每年）,---（每年）,沪深300指数收益率×80%+中国债券总指数收益率×20%,19.0598亿份（截止至：2025年06月30日）,2007年07月19日,博时新兴成长混合型证券投资基金,交通银行,博时新兴成长混合,博时基金,混合型-偏股,曾鹏,2007年07月06日 / 5.000亿份,每份累计0.15元（1次）,,19.14亿元（截止至：2025年06月30日）份额规模19.0598亿份（截止至：2025年06月30日）,该基金无跟踪标的
017154（前端）基金类型混合型-偏股,成功,0.15%（每年）,,1.20%（前端）,,,1.20%（每年）,0.00%（每年）,中证1000指数收益率*80%+中债综合全价(总值)指数收益率*20%,0.1194亿份（截止至：2025年06月30日）,2022年11月17日,民生加银专精特新智选混合型发起式证券投资基金,中信银行,民生加银专精特新智选混合发起式A,民生加银基金,混合型-偏股,周帅,2022年12月05日 / 0.239亿份,每份累计0.00元（0次）,,0.13亿元（截止至：2025年06月30日）份额规模0.1194亿份（截止至：2025年06月30日）,该基金无跟踪标的
011937（前端）基金类型混合型-偏股,成功,0.20%（每年）,0.00%（前端）,0.00%（前端）,1.50%（前端）,,1.20%（每年）,0.70%（每年）,中证800指数收益率*60%+中证港股通综合指数收益率*20%+中债综合指数收益率*20%,1.7765亿份（截止至：2025年06月30日）,2021年08月04日,华夏阿尔法精选混合型证券投资基金,中国银行,华夏阿尔法精选混合C,华夏基金,混合型-偏股,代瑞亮,2021年08月19日 / 6.576亿份,每份累计0.00元（0次）,,1.32亿元（截止至：2025年06月30日）份额规模1.7765亿份（截止至：2025年06月30日）,该基金无跟踪标的
010391（前端）基金类型股票型,成功,0.20%（每年）,,1.20%（前端）,,,1.20%（每年）,0.00%（每年）,中国战略新兴产业成份指数收益率*60%+中证港股通综合指数收益率*25%+中债总指数收益率*15%,36.8194亿份（截止至：2025年06月30日）,2021年01月11日,易方达战略新兴产业股票型证券投资基金,中国银行,易方达战略新兴产业股票A,易方达基金,股票型,欧阳良琦,2021年01月13日 / 99.016亿份,每份累计0.00元（0次）,,34.62亿元（截止至：2025年06月30日）份额规模36.8194亿份（截止至：2025年06月30日）,该基金无跟踪标的
001105（前端）基金类型股票型,成功,0.20%（每年）,,1.20%（前端）,,,1.20%（每年）,0.00%（每年）,沪深300指数收益率*85%+上证国债指数收益率*15%,1.826亿份（截止至：2025年06月30日）,2015年03月19日,信澳转型创新股票型证券投资基金,建设银行,信澳转型创新股票A,信达澳亚基金,股票型,朱然,2015年04月15日 / 28.635亿份,每份累计0.00元（0次）,,1.69亿元（截止至：2025年06月30日）份额规模1.826亿份（截止至：2025年06月30日）,该基金无跟踪标的
014777（前端）基金类型指数型-股票,成功,0.10%（每年）,0.00%（前端）,0.00%（前端）,1.50%（前端）,,0.50%（每年）,0.20%（每年）,中证芯片产业指数收益率*95%+银行活期存款利率(税后)*5%,3.3294亿份（截止至：2025年06月30日）,2022年01月11日,富国中证芯片产业交易型开放式指数证券投资基金发起式联接基金,兴业银行,富国中证芯片产业ETF发起式联接C,富国基金,指数型-股票,张圣贤,2022年01月18日 / 0.129亿份,每份累计0.00元（0次）,,2.99亿元（截止至：2025年06月30日）份额规模3.3294亿份（截止至：2025年06月30日）,中证芯片产业指数
017744（前端）基金类型股票型,成功,0.20%（每年）,,1.20%（前端）,,,1.20%（每年）,0.00%（每年）,中证800指数收益率*80%+恒生指数收益率*10%+中债综合财富指数收益率*10%,0.3722亿份（截止至：2025年06月30日）,2023年02月08日,嘉实绿色主题股票型发起式证券投资基金,中国银行,嘉实绿色主题股票发起式A,嘉实基金,股票型,蔡丞丰,2023年02月17日 / 0.112亿份,每份累计0.00元（0次）,,0.38亿元（截止至：2025年06月30日）份额规模0.3722亿份（截止至：2025年06月30日）,该基金无跟踪标的
019035（前端）基金类型QDII-混合偏股,成功,0.20%（每年）,0.00%（前端）,---（前端）,1.50%（前端）,,1.20%（每年）,0.50%（每年）,申万医药生物行业指数收益率*45%+标普全球1200医疗保健指数(使用估值汇率折算)收益率*40%+中债总指数收益率*15%,2.0935亿份（截止至：2025年06月30日）,2019年12月30日,易方达全球医药行业混合型发起式证券投资基金,中国银行,易方达全球医药行业混合发起式(QDII)C(人民币),易方达基金,QDII-混合偏股,杨桢霄,2023年11月15日 / --,每份累计0.00元（0次）,,2.29亿元（截止至：2025年06月30日）份额规模2.0935亿份（截止至：2025年06月30日）,该基金无跟踪标的
021593（前端）基金类型混合型-偏股,成功,0.20%（每年）,,1.20%（前端）天天基金优惠费率：0.12%（前端）,,,1.20%（每年）,0.00%（每年）,中证数字经济主题指数收益率*70%+中证港股通综合指数收益率*10%+中证综合债券指数收益率*20%,0.127亿份（截止至：2025年09月30日）,2024年07月15日,上银数字经济混合型发起式证券投资基金,兴业银行,上银数字经济混合发起式A,上银基金,混合型-偏股,赵治烨、惠军,2024年08月06日 / 0.223亿份,每份累计0.00元（0次）,,0.21亿元（截止至：2025年09月30日）份额规模0.127亿份（截止至：2025年09月30日）,该基金无跟踪标的
008020（前端）基金类型指数型-股票,成功,0.10%（每年）,,0.80%（前端）天天基金优惠费率：0.08%（前端）,,,0.50%（每年）,0.00%（每年）,中证人工智能产业指数收益率×95%+银行人民币活期存款利率(税后)×5%,7.7122亿份（截止至：2025年09月30日）,2020年03月13日,华富中证人工智能产业交易型开放式指数证券投资基金联接基金,招商银行,华富中证人工智能产业ETF联接A,华富基金,指数型-股票,张娅、郜哲、李孝华,2020年04月23日 / 2.223亿份,每份累计0.00元（0次）,,11.68亿元（截止至：2025年09月30日）份额规模7.7122亿份（截止至：2025年09月30日）,中证人工智能产业指数
019416（前端）基金类型QDII-混合偏股,成功,0.20%（每年）,0.00%（前端）,0.00%（前端）,1.50%（前端）,,1.20%（每年）,0.60%（每年）,经估值汇率调整后的恒生医疗保健指数收益率*90%+人民币银行活期存款利率(税后)*10%,0.1038亿份（截止至：2025年06月30日）,2023年09月22日,南方港股医药行业混合型发起式证券投资基金(QDII),广发银行,南方港股医药行业混合发起(QDII)C,南方基金,QDII-混合偏股,叶震南,2023年10月24日 / 0.104亿份,每份累计0.00元（0次）,,0.13亿元（截止至：2025年06月30日）份额规模0.1038亿份（截止至：2025年06月30日）,该基金无跟踪标的
008085（前端）基金类型股票型,成功,0.20%（每年）,,1.20%（前端）天天基金优惠费率：0.12%（前端）,,,1.20%（每年）,0.00%（每年）,中证高端装备制造指数收益率×75%+恒生指数收益率×10%+中证全债指数收益率×15%,1.4736亿份（截止至：2025年06月30日）,2019年11月14日,海富通先进制造股票型证券投资基金,中国银行,海富通先进制造股票A,海富通基金,股票型,吕越超、陈林海,2019年12月17日 / 18.931亿份,每份累计0.00元（0次）,,1.70亿元（截止至：2025年06月30日）份额规模1.4736亿份（截止至：2025年06月30日）,该基金无跟踪标的
019004（前端）基金类型混合型-偏股,成功,0.20%（每年）,0.00%（前端）,0.00%（前端）,1.50%（前端）,,1.20%（每年）,0.50%（每年）,中证科技100指数收益率*70%+中证港股通综合指数收益率*15%+中债总指数收益率*15%,0.8144亿份（截止至：2025年06月30日）,2023年09月04日,易方达科技智选混合型证券投资基金,招商银行,易方达科技智选混合C,易方达基金,混合型-偏股,蔡荣成,2023年09月26日 / 3.150亿份,每份累计0.00元（0次）,,0.90亿元（截止至：2025年06月30日）份额规模0.8144亿份（截止至：2025年06月30日）,该基金无跟踪标的
009913（前端）基金类型混合型-偏股,成功,0.20%（每年）,,1.20%（前端）,,,1.20%（每年）,0.00%（每年）,沪深300指数收益率*60%+恒生指数收益率*20%+中债综合财富(总值)指数收益率*20%,0.8939亿份（截止至：2025年06月30日）,2020年07月31日,中信保诚成长动力混合型证券投资基金,招商银行,中信保诚成长动力混合A,中信保诚基金,混合型-偏股,吴振华,2020年09月09日 / 11.052亿份,每份累计0.15元（3次）,,0.91亿元（截止至：2025年06月30日）份额规模0.8939亿份（截止至：2025年06月30日）,该基金无跟踪标的
013084（前端）基金类型指数型-股票,成功,0.20%（每年）,0.00%（前端）,---（前端）,1.50%（前端）,,1.00%（每年）,0.40%（每年）,中证智能家居指数收益率*95%+金融同业存款利率*5%,0.2149亿份（截止至：2025年06月30日）,2015年06月08日,中信保诚中证智能家居指数型证券投资基金(LOF),中国银行,中信保诚中证智能家居指数(LOF)C,中信保诚基金,指数型-股票,黄稚,2021年08月26日 / --,每份累计0.00元（0次）,,0.21亿元（截止至：2025年06月30日）份额规模0.2149亿份（截止至：2025年06月30日）,中证智能家居指数
013369（前端）基金类型混合型-偏股,成功,0.20%（每年）,,1.20%（前端）,,,1.20%（每年）,0.00%（每年）,中证移动互联网指数收益率*60%+恒生指数收益率(使用估值汇率折算)*20%+中债综合全价指数收益率*20%,1.3337亿份（截止至：2025年06月30日）,2021年11月19日,汇添富自主核心科技一年持有期混合型证券投资基金,民生银行,汇添富自主核心科技一年持有混合A,汇添富基金,混合型-偏股,马磊,2022年02月21日 / 3.480亿份,每份累计0.00元（0次）,,1.30亿元（截止至：2025年06月30日）份额规模1.3337亿份（截止至：2025年06月30日）,该基金无跟踪标的
015271（前端）基金类型混合型-灵活,成功,0.20%（每年）,0.00%（前端）,---（前端）,1.50%（前端）,,1.20%（每年）,0.40%（每年）,沪深300指数收益率*55%+上证国债指数收益率*45%,0.0407亿份（截止至：2025年06月30日）,2016年02月18日,财通多策略升级混合型证券投资基金(LOF),工商银行,财通多策略升级混合(LOF)C,财通基金,混合型-灵活,沈犁,2022年03月03日 / --,每份累计0.00元（0次）,,0.06亿元（截止至：2025年06月30日）份额规模0.0407亿份（截止至：2025年06月30日）,该基金无跟踪标的
013142（前端）基金类型混合型-灵活,成功,0.20%（每年）,0.00%（前端）,---（前端）,1.50%（前端）,,1.20%（每年）,0.40%（每年）,中证800指数收益率*65%+上证国债指数收益率*35%,0.9602亿份（截止至：2025年06月30日）,2015年11月18日,华商乐享互联灵活配置混合型证券投资基金,工商银行,华商乐享互联灵活配置混合C,华商基金,混合型-灵活,余懿,2021年07月30日 / --,每份累计0.27元（1次）,,1.91亿元（截止至：2025年06月30日）份额规模0.9602亿份（截止至：2025年06月30日）,该基金无跟踪标的
008086（前端）基金类型指数型-股票,成功,0.10%（每年）,,1.00%（前端）天天基金优惠费率：0.10%（前端）,,,0.50%（每年）,0.00%（每年）,中证5G通信主题指数收益率*95%+人民币活期存款税后利率*5%,16.7419亿份（截止至：2025年06月30日）,2019年11月11日,华夏中证5G通信主题交易型开放式指数证券投资基金发起式联接基金,中国银行,华夏中证5G通信主题ETF联接A,华夏基金,指数型-股票,李俊,2019年12月10日 / 28.840亿份,每份累计0.00元（0次）,,19.80亿元（截止至：2025年06月30日）份额规模16.7419亿份（截止至：2025年06月30日）,中证5G通信主题指数
015642（前端）基金类型股票型,成功,0.20%（每年）,0.00%（前端）,0.00%（前端）,1.50%（前端）,,1.20%（每年）,0.20%（每年）,中证数字经济主题全收益指数收益率*60%+中证港股通综合指数(人民币)收益率*20%+中债综合指数(全价)收益率*20%,10.7511亿份（截止至：2025年06月30日）,2022年05月12日,银华数字经济股票型发起式证券投资基金,浦发银行,银华数字经济股票发起式C,银华基金,股票型,王晓川,2022年05月20日 / 0.137亿份,每份累计0.00元（0次）,,14.90亿元（截止至：2025年06月30日）份额规模10.7511亿份（截止至：2025年06月30日）,该基金无跟踪标的
005874（前端）基金类型指数型-股票,成功,0.10%（每年）,0.00%（前端）,0.00%（前端）,1.50%（前端）,,0.50%（每年）,0.40%（每年）,创业板指数收益率*95%+银行人民币活期存款税后利率*5%,0.272亿份（截止至：2025年09月30日）,2018年05月28日,建信创业板交易型开放式指数证券投资基金发起式联接基金,中国银河,建信创业板ETF联接C,建信基金,指数型-股票,葛鲁禹,2018年06月13日 / 0.531亿份,每份累计0.00元（0次）,,0.57亿元（截止至：2025年09月30日）份额规模0.272亿份（截止至：2025年09月30日）,创业板指数(价格)
019892（前端）基金类型指数型-股票,成功,0.10%（每年）,0.00%（前端）,0.00%（前端）,1.50%（前端）,,0.50%（每年）,0.30%（每年）,中证2000指数收益率*95%+人民币活期存款税后利率*5%,0.6516亿份（截止至：2025年06月30日）,2023年11月03日,华夏中证2000交易型开放式指数证券投资基金发起式联接基金,招商银行,华夏中证2000ETF发起式联接C,华夏基金,指数型-股票,陈国峰,2023年11月08日 / 0.108亿份,每份累计0.00元（0次）,,0.80亿元（截止至：2025年06月30日）份额规模0.6516亿份（截止至：2025年06月30日）,中证2000指数
014219（前端）基金类型指数型-股票,成功,0.10%（每年）,0.00%（前端）,0.00%（前端）,1.50%（前端）,,1.20%（每年）,0.25%（每年）,中证科创创业50指数收益率*95%+活期存款利率(税后)*5%,0.91亿份（截止至：2025年06月30日）,2022年03月21日,汇添富中证科创创业50指数增强型发起式证券投资基金,工商银行,汇添富中证科创创业50指数增强发起式C,汇添富基金,指数型-股票,赖中立,2022年03月29日 / 0.132亿份,每份累计0.00元（0次）,,0.79亿元（截止至：2025年06月30日）份额规模0.91亿份（截止至：2025年06月30日）,中证科创创业50指数
005776（前端）基金类型混合型-灵活,成功,0.20%（每年）,0.00%（前端）,0.00%（前端）,1.50%（前端）,,1.20%（每年）,0.80%（每年）,沪深300指数收益率×60%+中债总全价指数收益率×40%,0.0737亿份（截止至：2025年06月30日）,2018年08月06日,中加转型动力灵活配置混合型证券投资基金,工商银行,中加转型动力混合C,中加基金,混合型-灵活,张一然,2018年09月05日 / 6.082亿份,每份累计0.00元（0次）,,0.18亿元（截止至：2025年06月30日）份额规模0.0737亿份（截止至：2025年06月30日）,该基金无跟踪标的
