date,fund_code,评分,持续天数,风险预警,建议,回撤%,RSI,BIAS,price
2025-12-17,014777,1,24,正常,等待3分,-12.32,39.87,-0.34,1.1957
2025-12-24,002052,1,8,🚩高风险(陷阱),等待3分,-10.73,72.17,1.08,1.914
2025-12-24,011613,1,29,🚩高风险(陷阱),等待3分,-10.97,80.87,1.86,1.0697
2025-12-24,012729,1,53,🚩高风险(陷阱),等待3分,-12.85,85.7,0.66,1.5202
2025-12-24,008182,1,10,🚩高风险(陷阱),等待3分,-13.79,67.77,0.65,0.9579
2025-12-17,013894,1,24,正常,等待3分,-13.5,42.17,-0.04,1.1584
2025-12-24,013811,1,29,🚩高风险(陷阱),等待3分,-11.47,80.75,1.87,0.947
2025-12-17,015788,1,24,正常,等待3分,-13.81,38.73,0.03,1.4446
2025-12-17,012040,1,3,正常,等待3分,-11.0,39.28,0.19,1.3161
2025-12-17,013292,1,32,正常,等待3分,-13.88,50.99,0.57,1.986
2025-12-17,012809,1,3,正常,等待3分,-10.04,39.94,-0.51,1.077
2025-12-17,014194,1,3,正常,等待3分,-10.6,43.79,-0.17,1.1857
2025-12-24,011609,1,29,🚩高风险(陷阱),等待3分,-11.36,80.28,1.74,1.039
2025-12-24,018558,1,28,🚩高风险(陷阱),等待3分,-18.47,56.03,-0.68,1.2387
2025-12-24,020635,1,28,🚩高风险(陷阱),等待3分,-18.55,57.77,-0.63,1.6348
2025-12-17,015895,1,24,正常,等待3分,-13.01,36.37,0.02,1.4361
2025-12-17,014419,1,3,正常,等待3分,-11.08,43.91,-0.09,1.1153
2025-12-24,020398,1,52,🚩高风险(陷阱),等待3分,-18.9,59.34,-0.43,1.6525
2025-12-17,002974,1,3,正常,等待3分,-10.92,39.63,0.19,1.5355
2025-12-17,015676,1,3,正常,等待3分,-10.03,39.51,0.31,1.6066
2025-12-24,015144,1,34,🚩高风险(陷阱),等待3分,-12.78,79.88,2.56,1.717
2025-12-23,008888,1,28,🚩高风险(陷阱),等待3分,-10.22,69.47,2.82,1.4963
2025-12-17,010956,1,32,正常,等待3分,-13.63,51.23,0.62,1.0695
2025-12-17,015337,1,24,正常,等待3分,-12.49,40.13,-0.32,1.2417
2025-12-24,014143,1,29,🚩高风险(陷阱),等待3分,-13.76,85.96,3.55,8.5746
2025-12-24,010214,1,27,🚩高风险(陷阱),等待3分,-11.69,83.67,0.56,1.0087
2025-12-24,016616,1,31,🚩高风险(陷阱),等待3分,-10.7,81.58,2.71,3.8949
2025-12-24,008532,1,25,🚩高风险(陷阱),等待3分,-10.88,79.94,1.6,1.1286
2025-12-24,021031,1,53,🚩高风险(陷阱),等待3分,-20.53,59.97,-0.4,1.7666
2025-12-17,012838,1,24,正常,等待3分,-12.68,40.44,-0.35,0.9137
2025-12-23,006328,1,26,正常,等待3分,-13.82,44.01,0.21,1.122
2025-12-24,012429,1,34,🚩高风险(陷阱),等待3分,-16.26,77.01,1.74,1.1248
2025-12-24,001770,1,40,🚩高风险(陷阱),等待3分,-17.41,70.55,0.58,2.069
2025-12-24,019599,1,28,🚩高风险(陷阱),等待3分,-18.51,57.06,-0.59,1.165
2025-12-17,011611,1,24,正常,等待3分,-12.81,42.14,-0.03,1.0282
2025-12-24,020404,1,29,🚩高风险(陷阱),等待3分,-11.94,93.86,2.09,1.7703
2025-12-24,013466,1,34,🚩高风险(陷阱),等待3分,-19.18,78.15,1.27,1.1852
2025-12-24,011615,1,29,🚩高风险(陷阱),等待3分,-10.99,80.33,1.7,1.0508
2025-12-24,010655,1,28,🚩高风险(陷阱),等待3分,-14.33,65.44,-0.14,1.0271
2025-12-24,008981,1,37,🚩高风险(陷阱),等待3分,-14.07,93.81,3.1,1.8306
2025-12-17,014172,3,6,✅高胜率区,可分批建仓,-12.94,28.07,-0.86,1.245
2025-12-24,003305,1,39,🚩高风险(陷阱),等待3分,-12.74,96.81,1.44,4.663
2025-12-17,014332,1,2,正常,等待3分,-10.16,42.87,-0.22,1.1356
