排序	编码		名称		类型		2025-07-08	2025-11-04	净增长	增长率	最大回撤	夏普比率	MA趋势
1	006503	N/A		C类		1.8331		3.6498		1.8167	99.11%		13.97%		4.0799		↑
2	006888	N/A		C类		1.1419		2.0787		0.9368	82.04%		15.73%		3.2946		↑
3	016371	N/A		C类		0.8479		1.5368		0.6889	81.25%		17.19%		3.2841		↑
4	018957	N/A		C类		1.6547		2.9701		1.3154	79.49%		17.4%		3.3765		↑
5	002112	N/A		C类		1.9482		3.4002		1.452	74.53%		16.24%		3.2367		↑
6	011120	N/A		C类		1.3990		2.4330		1.034	73.91%		12.79%		3.6216		↑
7	007818	N/A		C类		1.4503		2.5182		1.0679	73.63%		11.8%		3.8705		↑
8	001407	N/A		C类		2.2810		3.9530		1.672	73.3%		11.85%		4.3941		↑
9	014728	N/A		C类		1.3089		2.2531		0.9442	72.14%		7.98%		5.0792		↑
10	008989	N/A		C类		1.6319		2.7844		1.1525	70.62%		12.03%		3.4128		↑
11	010392	N/A		C类		0.9610		1.6241		0.6631	69.0%		10.4%		4.0352		↑
12	019514	N/A		C类		1.5589		2.6196		1.0607	68.04%		13.83%		3.9387		↑
13	018994	N/A		C类		1.7287		2.8974		1.1687	67.61%		12.17%		3.9132		↑
14	008087	N/A		C类		1.1967		2.0004		0.8037	67.16%		12.0%		3.7388		↑
15	008327	N/A		C类		1.4264		2.3732		0.9468	66.38%		13.02%		3.4168		↑
16	015389	N/A		C类		1.3346		2.2164		0.8818	66.07%		12.84%		3.4954		↑
17	014162	N/A		C类		2.0624		3.4184		1.356	65.75%		13.27%		3.5725		↑
18	005300	N/A		C类		2.3472		3.8713		1.5241	64.93%		13.32%		3.5616		↑
19	011370	N/A		C类		0.9896		1.6269		0.6373	64.4%		17.39%		3.1027		↑
20	016600	N/A		C类		2.7204		4.4489		1.7285	63.54%		12.15%		4.0453		↑
21	015686	N/A		C类		2.2500		3.6180		1.368	60.8%		11.77%		3.5093		↑
22	011452	N/A		C类		0.9326		1.4993		0.5667	60.77%		17.91%		2.7155		↑
23	021500	N/A		C类		1.6530		2.6550		1.002	60.62%		12.14%		4.1134		↑
24	011823	N/A		C类		0.8288		1.3200		0.4912	59.27%		9.62%		4.0269		↑
25	014320	N/A		C类		1.1877		1.8891		0.7014	59.06%		12.79%		3.4846		↑
26	020662	N/A		C类		1.2004		1.9037		0.7033	58.59%		13.46%		3.1612		↑
27	002170	N/A		C类		3.5907		5.6941		2.1034	58.58%		13.08%		3.9535		↑
28	011301	N/A		C类		0.9331		1.4669		0.5338	57.21%		9.58%		4.0161		↑
29	012895	N/A		C类		0.6261		0.9819		0.3558	56.83%		10.06%		3.995		↑
30	013305	N/A		C类		0.6775		1.0595		0.382	56.38%		9.98%		3.9715		↑
31	012908	N/A		C类		0.6449		1.0064		0.3615	56.06%		10.04%		3.9205		↑
32	015152	N/A		C类		1.0563		1.6479		0.5916	56.01%		13.73%		3.834		↑
33	013311	N/A		C类		0.6469		1.0045		0.3576	55.28%		9.99%		3.9192		↑
34	011400	N/A		C类		0.6254		0.9673		0.3419	54.67%		11.27%		3.3691		↑
35	008021	N/A		C类		0.9020		1.3942		0.4922	54.57%		12.22%		3.4848		↑
36	014642	N/A		C类		5.5950		8.5653		2.9703	53.09%		9.09%		3.854		↑
37	012922	N/A		C类		1.6279		2.4592		0.8313	51.07%		5.19%		5.0159		↑
38	016068	N/A		C类		0.7973		1.2022		0.4049	50.78%		11.2%		4.0844		↑
39	011145	N/A		C类		1.2982		1.9565		0.6583	50.71%		12.32%		3.2913		↑
40	011840	N/A		C类		0.9914		1.4901		0.4987	50.3%		11.59%		3.4808		↑
41	008586	N/A		C类		0.8956		1.3444		0.4488	50.11%		11.6%		3.4657		↑
42	012734	N/A		C类		1.1363		1.7011		0.5648	49.71%		11.36%		3.4701		↑
43	015690	N/A		C类		3.2130		4.7770		1.564	48.68%		10.14%		3.5884		↑
44	014985	N/A		C类		1.1594		1.7235		0.5641	48.65%		9.98%		3.8012		↑
45	009708	N/A		C类		1.8317		2.7197		0.888	48.48%		11.49%		3.2463		↑
46	005963	N/A		C类		2.7141		4.0278		1.3137	48.4%		10.47%		3.4533		↑
47	007356	N/A		C类		2.2901		3.3974		1.1073	48.35%		9.69%		3.7364		↑
48	014855	N/A		C类		1.2657		1.8714		0.6057	47.85%		12.1%		3.1643		↑
49	011036	N/A		C类		0.8403		1.2398		0.3995	47.54%		9.0%		3.5143		↑
50	015877	N/A		C类		1.0685		1.5642		0.4957	46.39%		11.82%		3.6936		↑
51	011892	N/A		C类		1.3242		1.9358		0.6116	46.19%		16.4%		2.4865		↑
